,Timestamp,Year of joining the Firm ( Eg: 2016) ,Industry Domain,Type ,Firm CTC,Duration of Employment?,Satisfaction in your Company ,Ability to Grow in the industry ,Choice
209,2020/01/17 6:34:58 PM GMT+5:30,2019,,0,3,1 Year,Very Satisfied,High Growth,Work
210,2020/01/17 6:39:31 PM GMT+5:30,2018,Automobile,0,3,1 Year,Satisfied,High Growth,Higher Studies
211,2020/01/17 6:48:12 PM GMT+5:30,2016,Computer Science,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
212,2020/01/17 7:23:45 PM GMT+5:30,2014,Automotive,1,2,1 Year,Not Satisfied,High Growth,Work
213,2020/01/17 7:42:59 PM GMT+5:30,2018,Service,0,2,1 Year,Very Satisfied,High Growth,Higher Studies
214,2020/01/17 7:45:46 PM GMT+5:30,2018,Software Testing,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
215,2020/01/17 7:56:24 PM GMT+5:30,2016,Operation analyst,0,3,1 Year,Very Satisfied,High Growth,Higher Studies
216,2020/01/17 7:58:45 PM GMT+5:30,2018,Software,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
217,2020/01/17 8:16:16 PM GMT+5:30,2018,Tech services,0,3,1 Year,Not Satisfied,Low Growth,Higher Studies
218,2020/01/17 8:16:54 PM GMT+5:30,2018,Tech Services,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
219,2020/01/17 10:10:34 PM GMT+5:30,2017,Automotive Industry,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
220,2020/01/18 10:57:35 PM GMT+5:30,2019,It services,0,1,< 1 Year,Not Satisfied,Low Growth,Work
221,2020/01/18 10:59:50 PM GMT+5:30,2019,Information Technology,0,1,< 1 Year,Very Satisfied,High Growth,Work
222,2020/01/18 11:02:11 PM GMT+5:30,2019,Telecom/R&D,0,2,< 1 Year,Very Satisfied,High Growth,Work
223,2020/01/18 11:07:12 PM GMT+5:30,2015,Machine Learning,0,1,< 1 Year,Very Satisfied,High Growth,Work
224,2020/01/18 11:10:04 PM GMT+5:30,2019,Data Backup and Engineering Solutions,1,2,< 1 Year,Very Satisfied,High Growth,Work
225,2020/01/18 11:35:14 PM GMT+5:30,2019,Software,0,1,< 1 Year,Very Satisfied,High Growth,Work
226,2020/01/19 12:52:38 AM GMT+5:30,2019,Software,1,2,< 1 Year,Very Satisfied,High Growth,Work
227,2020/01/19 12:58:09 AM GMT+5:30,2015,"UI, BIGDATA",1,2,2 Years,Very Satisfied,High Growth,Work
228,2020/01/19 4:11:21 AM GMT+5:30,2019,Consulting ,1,1,< 1 Year,Very Satisfied,High Growth,Work
229,2020/01/19 7:55:41 AM GMT+5:30,2005,Banking,0,3,3 Years,Satisfied,High Growth,Higher Studies
230,2020/01/19 9:24:08 AM GMT+5:30,2019,Technology consulting,1,1,< 1 Year,Very Satisfied,High Growth,Work
231,2020/01/19 10:23:24 AM GMT+5:30,2019,IT,1,1,< 1 Year,Satisfied,High Growth,Work
232,2020/01/19 10:38:34 AM GMT+5:30,2019,Travel Tech,0,1,< 1 Year,Very Satisfied,High Growth,Work
233,2020/01/19 12:17:00 PM GMT+5:30,2019,Healthcare,0,2,< 1 Year,Very Satisfied,High Growth,Work
